Check_Ave,Date,Item_Count,Location,Sub-total
7.13,7/27/2017,1179,THC,"2,157.08"
17.08,7/27/2017,24,Post Office,358.75
7.36,7/27/2017,256,Tylers,878.82
4.04,7/27/2017,105,8:15,251.56
3.79,7/27/2017,684,HDC,"2,328.90"
3.77,7/28/2017,464,HDC,"1,660.67"
7.39,7/28/2017,16,Post Office,103.39
9.46,7/28/2017,239,ETC,806.35
0,7/28/2017,,Passport,0
8.66,7/28/2017,245,Tylers,828.74
4.49,7/28/2017,117,8:15,286.38
8.15,7/28/2017,1062,THC,"2,234.17"
5.81,7/28/2017,89,Stadium East,273
4.48,7/29/2017,42,Stadium East,130
2.38,7/29/2017,340,HDC,805.6
2.82,7/30/2017,319,HDC,855.9
17.07,7/31/2017,34,Post Office,426.61
5.86,7/31/2017,145,8:15,356.19
6.65,7/31/2017,1388,THC,"2,068.53"
4.14,7/31/2017,476,HDC,"1,844.45"
7.18,7/31/2017,194,Passport,560.77
7.6,7/31/2017,126,ETC,434.03
4.33,8/1/2017,118,8:15,271.04
3.5,8/1/2017,533,HDC,"1,777.22"
0,8/1/2017,,Tylers,0
7.32,8/1/2017,1222,THC,"2,080.94"
5.81,8/1/2017,105,ETC,291.29
7.5,8/1/2017,226,Passport,648.41
30.28,8/1/2017,24,Post Office,635.88
10.74,8/2/2017,20,Post Office,204
7.34,8/2/2017,1430,THC,"2,194.34"
8,8/2/2017,231,Passport,680.07
4.43,8/2/2017,107,8:15,257.09
3.46,8/2/2017,498,HDC,"1,648.35"
7.58,8/2/2017,120,ETC,380.59
6.75,8/3/2017,1147,THC,"1,887.21"
6.75,8/3/2017,208,Passport,597.99
8.53,8/3/2017,119,ETC,353.93
5.44,8/3/2017,99,8:15,238.17
25.94,8/3/2017,15,Post Office,363.11
3.95,8/3/2017,533,HDC,"1,956.28"
9.74,8/4/2017,9,Post Office,58.41
12.15,8/4/2017,51,ETC,179.94
1.44,8/4/2017,197,HDC,299.01
4.58,8/4/2017,39,8:15,107.56
4.79,8/4/2017,26,Passport,73.5
5.81,8/4/2017,320,THC,575.96
1.41,8/5/2017,318,HDC,467.12
3.04,8/6/2017,335,HDC,911
0,8/7/2017,,Cellar,0
7.42,8/7/2017,173,Passport,497.75
5.04,8/7/2017,78,ETC,250.71
24.22,8/7/2017,21,Post Office,460.21
6.98,8/7/2017,175,Tylers,574.88
1.89,8/7/2017,721,HDC,"1,410.91"
6.54,8/7/2017,1307,THC,"1,843.08"
10.57,8/8/2017,25,Post Office,221.99
2,8/8/2017,752,HDC,"1,504.62"
7.7,8/8/2017,220,Passport,674.06
0,8/8/2017,,Cellar,0
7.02,8/8/2017,177,Tylers,602.54
6.51,8/8/2017,987,THC,"1,571.76"
5.09,8/8/2017,90,ETC,284.9
1.93,8/9/2017,816,HDC,"1,573.96"
7.2,8/9/2017,1444,THC,"2,008.15"
4.72,8/9/2017,111,ETC,235.4
6.47,8/9/2017,176,Passport,484.3
6.43,8/9/2017,166,Tylers,516.59
21.64,8/9/2017,15,Post Office,302.97
0,8/9/2017,,Cellar,0
2.23,8/10/2017,780,HDC,"1,695.62"
6.69,8/10/2017,1115,THC,"2,147.64"
14.32,8/10/2017,13,Post Office,157.23
5.3,8/10/2017,113,ETC,293.94
6.95,8/10/2017,193,Passport,536.78
6.66,8/10/2017,187,Tylers,605.82
0,8/10/2017,2,Cellar,0
0,8/10/2017,,Dean's Den,0
18.27,8/11/2017,25,Post Office,383.37
7.53,8/11/2017,1077,THC,"1,951.76"
4.21,8/11/2017,586,HDC,"2,247.07"
6.88,8/11/2017,157,Tylers,513.7
0.01,8/11/2017,2,Cellar,0.02
7.63,8/11/2017,210,Passport,549.96
9.97,8/11/2017,185,ETC,472.7
1.37,8/12/2017,362,HDC,481.81
2.54,8/13/2017,355,HDC,818.12
7.67,8/14/2017,149,Passport,457.16
6.15,8/14/2017,1230,THC,"1,794.07"
4.45,8/14/2017,83,8:15,221.5
3.5,8/14/2017,558,HDC,"1,911.65"
7.63,8/14/2017,187,Tylers,617.74
0.02,8/14/2017,1,Cellar,0.01
15.83,8/14/2017,32,Post Office,379.44
4.14,8/14/2017,85,ETC,201.96
18.46,8/15/2017,16,Post Office,276.91
2.24,8/15/2017,710,HDC,"1,615.86"
7.51,8/15/2017,1075,THC,"1,765.81"
6.22,8/15/2017,117,Passport,347.59
6.69,8/15/2017,137,Tylers,455.65
4.99,8/15/2017,83,ETC,231.93
3.46,8/15/2017,73,8:15,183.83
0,8/15/2017,,Cellar,0
8.76,8/16/2017,157,ETC,579.03
6.93,8/16/2017,255,Passport,721.37
0,8/16/2017,0,Cellar,0
7.17,8/16/2017,1663,THC,"2,205.99"
0,8/16/2017,0,Lou's,0
13.39,8/16/2017,23,Post Office,240.57
5.38,8/16/2017,90,8:15,243.78
2.21,8/16/2017,731,HDC,"1,624.30"
30.26,8/17/2017,17,Post Office,453.84
6.94,8/17/2017,209,Tylers,715.29
4.28,8/17/2017,87,8:15,224.6
2.86,8/17/2017,715,HDC,"1,981.71"
0.02,8/17/2017,9,Cellar,0.22
5.99,8/17/2017,104,ETC,341.18
6.5,8/17/2017,163,Passport,501.47
7.72,8/17/2017,1384,THC,"2,494.33"
0,8/18/2017,,Cellar,0
6.18,8/18/2017,43,Stadium West,136
7.14,8/18/2017,268,Passport,795.96
8.7,8/18/2017,162,ETC,493
7.17,8/18/2017,963,THC,"1,772.73"
36.54,8/18/2017,9,Post Office,328.89
7.03,8/18/2017,163,Tylers,529.79
4.58,8/18/2017,72,8:15,194.38
2.17,8/18/2017,788,HDC,"1,723.46"
0.83,8/19/2017,765,HDC,648.18
6.24,8/20/2017,200,ETC,567.55
8.3,8/20/2017,206,Tylers,710.65
8.08,8/20/2017,283,Stadium West,913
5.34,8/20/2017,847,HDC,"3,777.56"
17.01,8/21/2017,32,Post Office,493.15
1.98,8/21/2017,1979,HDC,"3,826.12"
0,8/21/2017,,Lou's,0
7.04,8/21/2017,245,Passport,748.77
7.2,8/21/2017,273,Tylers,931.24
3.97,8/21/2017,159,8:15,391.4
7.28,8/21/2017,1356,THC,"1,915.46"
7.12,8/21/2017,390,ETC,"1,261.54"
5.06,8/22/2017,198,8:15,500.62
0.84,8/22/2017,2165,HDC,"1,880.42"
7.96,8/22/2017,394,ETC,"1,323.24"
6.1,8/22/2017,371,Passport,"1,060.51"
17.76,8/22/2017,27,Post Office,443.85
6.51,8/22/2017,287,Tylers,"1,008.17"
