Check_Ave,Date,Item_Count,Location,Sub-total
14.32,8/10/2017,13,Post Office,157.23
5.3,8/10/2017,113,ETC,293.94
6.95,8/10/2017,193,Passport,536.78
6.66,8/10/2017,187,Tylers,605.82
0,8/10/2017,2,Cellar,0
0,8/10/2017,,Dean's Den,0
18.27,8/11/2017,25,Post Office,383.37
6.88,8/11/2017,157,Tylers,513.7
0.01,8/11/2017,2,Cellar,0.02
7.63,8/11/2017,210,Passport,549.96
9.97,8/11/2017,185,ETC,472.7
7.67,8/14/2017,149,Passport,457.16
4.45,8/14/2017,83,8:15,221.5
7.63,8/14/2017,187,Tylers,617.74
0.02,8/14/2017,1,Cellar,0.01
15.83,8/14/2017,32,Post Office,379.44
4.14,8/14/2017,85,ETC,201.96
18.46,8/15/2017,16,Post Office,276.91
6.22,8/15/2017,117,Passport,347.59
6.69,8/15/2017,137,Tylers,455.65
4.99,8/15/2017,83,ETC,231.93
3.46,8/15/2017,73,8:15,183.83
0,8/15/2017,,Cellar,0
8.76,8/16/2017,157,ETC,579.03
6.93,8/16/2017,255,Passport,721.37
0,8/16/2017,0,Cellar,0
0,8/16/2017,0,Lou's,0
13.39,8/16/2017,23,Post Office,240.57
5.38,8/16/2017,90,8:15,243.78
30.26,8/17/2017,17,Post Office,453.84
6.94,8/17/2017,209,Tylers,715.29
4.28,8/17/2017,87,8:15,224.6
0.02,8/17/2017,9,Cellar,0.22
5.99,8/17/2017,104,ETC,341.18
6.5,8/17/2017,163,Passport,501.47
0,8/18/2017,,Cellar,0
6.18,8/18/2017,43,Concessions,136
7.14,8/18/2017,268,Passport,795.96
8.7,8/18/2017,162,ETC,493
36.54,8/18/2017,9,Post Office,328.89
7.03,8/18/2017,163,Tylers,529.79
4.58,8/18/2017,72,8:15,194.38
6.24,8/20/2017,200,ETC,567.55
8.3,8/20/2017,206,Tylers,710.65
8.08,8/20/2017,283,Concessions,913
17.01,8/21/2017,32,Post Office,493.15
0,8/21/2017,,Lou's,0
7.04,8/21/2017,245,Passport,748.77
7.2,8/21/2017,273,Tylers,931.24
3.97,8/21/2017,159,8:15,391.4
7.12,8/21/2017,390,ETC,"1,261.54"
5.06,8/22/2017,198,8:15,500.62
7.96,8/22/2017,394,ETC,"1,323.24"
6.1,8/22/2017,371,Passport,"1,060.51"
17.76,8/22/2017,27,Post Office,443.85
6.51,8/22/2017,287,Tylers,"1,008.17"
0,8/22/2017,,Lou's,0
0,8/22/2017,,Cellar,0
4.73,8/23/2017,253,8:15,703.18
7.97,8/23/2017,660,Tylers,"2,262.10"
6.05,8/23/2017,375,Passport,"1,118.22"
8.5,8/23/2017,884,ETC,"3,088.39"
0.01,8/23/2017,1,Cellar,0.01
0,8/23/2017,,Lou's,0
8.41,8/23/2017,14,Post Office,109.24
16.96,8/24/2017,23,Post Office,303.91
6.94,8/24/2017,503,Tylers,"1,670.80"
0,8/24/2017,,Cellar,0
9.52,8/24/2017,721,Passport,"2,603.23"
4.02,8/24/2017,306,8:15,762.06
7.01,8/24/2017,959,ETC,"3,179.57"
6.72,8/25/2017,420,Passport,"1,180.98"
3.83,8/25/2017,266,8:15,661.71
7.09,8/25/2017,573,Tylers,"2,117.24"
8.46,8/25/2017,1567,ETC,"5,365.45"
0,8/25/2017,,Cellar,0
0,8/25/2017,-1,Lou's,-0.01
21.11,8/25/2017,13,Post Office,253.34
8.35,8/26/2017,1929,ETC,"6,764.96"
8.95,8/27/2017,2398,ETC,"8,442.85"
7.9,8/27/2017,713,Tylers,"2,912.06"
24.32,8/28/2017,59,Post Office,"1,262.92"
3.81,8/28/2017,987,8:15,"2,594.94"
7.07,8/28/2017,1331,Tylers,"5,310.82"
7.09,8/28/2017,2237,ETC,"7,473.29"
6.85,8/28/2017,1572,Passport,"5,103.77"
0,8/28/2017,3,Cellar,0
6.6,8/28/2017,158,Dean's Den,435.83
6.06,8/28/2017,798,Lou's,"2,595.15"
6.9,8/29/2017,2105,ETC,"7,077.53"
0,8/29/2017,12,Cellar,0
5.63,8/29/2017,123,Dean's Den,343.23
6.66,8/29/2017,36,Post Office,239.45
3.95,8/29/2017,1261,8:15,"3,290.82"
7.05,8/29/2017,1270,Tylers,"4,973.08"
7.26,8/29/2017,1497,Passport,"4,754.77"
6.03,8/29/2017,880,Lou's,"2,936.35"
9.29,8/30/2017,36,Post Office,305.57
5.91,8/30/2017,811,Lou's,"2,618.56"
7.2,8/30/2017,1311,Tylers,"5,155.82"
3.96,8/30/2017,1325,8:15,"3,398.60"
0,8/30/2017,2,Cellar,0
5.95,8/30/2017,155,Dean's Den,439.91
6.58,8/30/2017,2230,ETC,"6,999.61"
6.91,8/30/2017,1725,Passport,"5,471.54"
40.28,8/31/2017,62,Cellar,322.2
6.51,8/31/2017,2248,ETC,"7,109.40"
