STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",8/10/2017,4.7,,0,0,0,73,85,62,,150,150,14.1,21.9,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",8/11/2017,6.93,,0.03,0,0,74,85,65,,140,130,15,19,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",8/12/2017,5.82,,0.3,0,0,78,87,73,,220,210,14.1,19,1,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",8/13/2017,5.14,,0.19,0,0,76,82,70,,10,10,17,19.9,1,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",8/14/2017,4.25,,0,0,0,75,84,67,,140,100,8.9,13,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",8/15/2017,4.47,,0.33,0,0,77,84,74,,20,20,17,21,1,,,,,,1,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",8/16/2017,4.25,,0,0,0,79,91,73,,320,340,8.9,13,1,,,,,,1,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",8/17/2017,6.71,,0,0,0,79,86,73,,190,190,21.9,25.1,1,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",8/18/2017,9.84,,2.15,0,0,81,92,74,,320,310,30,38.9,1,,1,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",8/19/2017,4.03,,0,0,0,80,89,74,,10,20,14.1,18.1,,,1,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",8/20/2017,5.37,,0,0,0,79,89,71,,30,30,13,15,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",8/21/2017,5.59,,0,0,0,79,89,71,,180,170,16.1,19.9,1,1,,,,,1,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",8/22/2017,8.95,,0,0,0,81,91,73,,190,190,18.1,23,1,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",8/23/2017,6.71,,0.14,0,0,79,86,68,,360,10,18.1,21.9,1,,1,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",8/24/2017,5.82,,0,0,0,73,83,67,,30,40,14.1,19,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",8/25/2017,4.92,,0,0,0,72,83,63,,360,70,12.1,14.1,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",8/26/2017,6.71,,0,0,0,71,83,63,,40,40,16.1,21,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",8/27/2017,7.38,,0,0,0,70,81,61,,50,30,17,21.9,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",8/28/2017,10.96,,0,0,0,68,81,60,,100,100,21,23.9,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",8/29/2017,14.54,,1.15,0,0,67,69,63,,30,20,23.9,33.1,1,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",8/30/2017,6.04,,0,0,0,69,81,63,,350,320,13,16.1,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",8/31/2017,3.58,,0,0,0,75,87,65,,240,260,15,19.9,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",9/1/2017,9.4,,0.83,0,0,67,76,53,,50,50,19.9,23.9,1,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",9/2/2017,5.82,,0.41,0,0,61,67,57,,300,300,13,14.1,1,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",9/3/2017,7.16,,0.06,0,0,68,80,62,,260,250,15,19.9,1,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",9/4/2017,6.49,,0,0,0,70,83,56,,220,210,17,23,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",9/5/2017,8.72,,0,0,0,75,86,64,,230,210,21.9,27.1,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",9/6/2017,7.61,,0.07,0,0,71,74,61,,350,340,21.9,29.1,1,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",9/7/2017,7.38,,0,0,0,65,76,54,,270,280,16.1,21,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",9/8/2017,2.91,,0,0,0,65,78,51,,340,300,12.1,16.1,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",9/9/2017,8.5,,0,0,0,65,74,55,,20,10,17,25.1,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",9/10/2017,8.5,,0,0,0,61,71,51,,60,10,17,23,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",9/11/2017,8.05,,0.02,0,0,62,72,53,,60,50,18.1,23,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",9/12/2017,8.28,,0.03,0,0,67,79,60,,120,120,17,21.9,1,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",9/13/2017,6.49,,0.06,0,0,74,84,65,,240,240,16.1,21,1,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",9/14/2017,6.71,,0,0,0,72,83,65,,250,230,15,19.9,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",9/15/2017,3.36,,0,0,0,75,85,67,,350,20,10.1,15,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",9/16/2017,2.91,,0,0,0,74,86,65,,50,60,8.9,14.1,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",9/17/2017,4.47,,0,0,0,74,85,64,,80,20,13,18.1,1,1,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",9/18/2017,9.4,,0,0,0,72,81,66,,10,10,18.1,21.9,1,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",9/19/2017,11.41,,0,0,0,73,84,67,,330,20,18.1,25.9,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",9/20/2017,5.82,,0,0,0,76,89,66,,350,350,14.1,18.1,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",9/21/2017,4.92,,0,0,0,76,90,65,,50,350,15,19.9,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",9/22/2017,4.25,,0,0,0,74,84,62,,10,20,13,17,1,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",9/23/2017,4.7,,0,0,0,72,87,61,,30,40,14.1,19.9,1,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",9/24/2017,5.37,,0,0,0,75,90,62,,50,50,14.1,19,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",9/25/2017,8.05,,0,0,0,75,88,64,,60,40,17,23,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",9/26/2017,11.41,,0,0,0,72,78,69,,10,10,18.1,23,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",9/27/2017,12.97,,0,0,0,78,90,72,,360,360,21.9,29.1,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",9/28/2017,10.51,,0,0,0,79,88,62,,10,330,18.1,25.1,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",9/29/2017,5.82,,0,0,0,67,78,55,,300,280,13,17,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",9/30/2017,11.18,,0,0,0,63,72,51,,340,360,21.9,29.1,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",10/1/2017,6.49,,0,0,0,58,72,48,,20,50,13,17,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",10/2/2017,2.91,,0,0,0,60,74,47,,120,120,10.1,13,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",10/3/2017,3.58,,0,0,0,62,77,49,,110,110,13,17,1,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",10/4/2017,2.91,,0,0,0,62,78,49,,200,140,10.1,13,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",10/5/2017,6.26,,0,0,0,67,84,55,,200,210,16.1,19,1,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",10/6/2017,6.49,,0,0,0,71,85,59,,200,200,16.1,23,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",10/7/2017,7.61,,0,0,0,70,83,60,,180,180,15,21.9,1,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",10/8/2017,10.51,,0.01,0,0,77,85,73,,170,170,19.9,23.9,1,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",10/9/2017,12.08,,0.05,0,0,77,84,73,,200,210,21.9,28,1,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",10/10/2017,3.8,,0.32,0,0,77,86,72,,170,190,10.1,12.1,1,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",10/11/2017,3.8,,1.91,0,0,76,81,72,,310,310,13,15,1,1,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",10/12/2017,10.51,,0.13,0,0,69,73,61,,50,60,18.1,27.1,1,1,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",10/13/2017,9.62,,0.01,0,0,64,69,61,,40,20,14.1,19,1,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",10/14/2017,6.26,,0,0,0,64,67,63,,350,340,12.1,15,1,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",10/15/2017,9.84,,0,0,0,69,82,63,,210,220,19.9,27.1,1,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",10/16/2017,9.62,,0.21,0,0,65,72,47,,10,20,25.9,36,1,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",10/17/2017,6.71,,0,0,0,53,64,42,,20,20,18.1,21.9,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",10/18/2017,1.34,,0,0,0,52,69,39,,150,130,8.9,12.1,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",10/19/2017,3.36,,0,0,0,56,75,43,,210,230,12.1,18.1,1,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",10/20/2017,3.13,,0,0,0,61,80,44,,350,10,13,21,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",10/21/2017,2.46,,0,0,0,62,78,50,,140,140,6.9,8.9,1,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",10/22/2017,3.36,,0,0,0,62,77,50,,90,140,10.1,13,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",10/23/2017,10.07,,0.11,0,0,65,78,55,,130,130,32,38.9,1,1,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",10/24/2017,9.84,,0.36,0,0,68,74,56,,230,230,25.9,31.1,1,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",10/25/2017,6.71,,0,0,0,59,66,49,,230,220,15,18.1,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",10/26/2017,7.61,,0,0,0,54,62,39,,320,340,18.1,25.9,1,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",10/27/2017,6.71,,0,0,0,51,70,37,,190,200,16.1,19.9,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",10/28/2017,8.72,,0,0,0,58,73,46,,200,190,21.9,29.1,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",10/29/2017,9.4,,1.84,0,0,63,66,45,,320,310,30,40,1,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",10/30/2017,11.18,,0,0,0,50,59,43,,280,280,23,31.1,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",10/31/2017,3.8,,0,0,0,51,68,40,,270,250,12.1,15,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",11/1/2017,4.92,,0,0,0,56,71,45,,180,190,13,16.1,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",11/2/2017,4.47,,0,0,0,64,77,57,,180,170,14.1,19,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",11/3/2017,5.59,,0.23,0,0,66,82,54,,350,360,19.9,25.1,1,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",11/4/2017,8.28,,0,0,0,59,64,52,,20,30,17,23.9,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",11/5/2017,4.03,,0.12,0,0,56,64,51,,340,340,8.9,10.1,1,,,,,,1,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",11/6/2017,8.5,,0,0,0,63,76,56,,10,10,19.9,23,1,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",11/7/2017,10.74,,0.17,0,0,55,61,42,,10,360,17,21.9,1,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",11/8/2017,10.96,,0.07,0,0,43,46,41,,10,360,17,21.9,1,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",11/9/2017,6.71,,0.11,0,0,48,55,45,,10,30,12.1,14.1,1,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",11/10/2017,12.53,,0,0,0,48,52,30,,350,340,25.1,30,1,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",11/11/2017,4.47,,0,0,0,33,42,26,,30,30,12.1,16.1,,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",11/12/2017,1.57,,0.02,0,0,36,48,28,,120,240,6,8.9,1,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",11/13/2017,6.26,,0.65,0,0,43,48,39,,340,330,13,16.1,1,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",11/14/2017,7.83,,0,0,0,43,51,35,,10,20,15,19.9,1,,,,,,,
USW00013740,"RICHMOND INTERNATIONAL AIRPORT, VA US",11/15/2017,4.47,,0,0,0,42,56,33,,20,20,12.1,17,,,,,,,,
