Date,Location,Check_Ave,Sales,Item_Count,Year
8/10,Passport,6.95,536.78,193,1718
8/10,Tylers,6.66,605.82,187,1718
8/10,Cellar,0,0,2,1718
8/10,Dean's Den,0,0,,1718
8/11,Post Office,18.27,383.37,25,1718
8/11,Tylers,6.88,513.7,157,1718
8/11,Cellar,0.01,0.02,2,1718
8/11,Passport,7.63,549.96,210,1718
8/11,ETC,9.97,472.7,185,1718
8/14,Passport,7.67,457.16,149,1718
8/14,8:15,4.45,221.5,83,1718
8/14,Tylers,7.63,617.74,187,1718
8/14,Cellar,0.02,0.01,1,1718
8/14,Post Office,15.83,379.44,32,1718
8/14,ETC,4.14,201.96,85,1718
8/15,Post Office,18.46,276.91,16,1718
8/15,Passport,6.22,347.59,117,1718
8/15,Tylers,6.69,455.65,137,1718
8/15,ETC,4.99,231.93,83,1718
8/15,8:15,3.46,183.83,73,1718
8/15,Cellar,0,0,,1718
8/16,ETC,8.76,579.03,157,1718
8/16,Passport,6.93,721.37,255,1718
8/16,Cellar,0,0,0,1718
8/16,Lou's,0,0,0,1718
8/16,Post Office,13.39,240.57,23,1718
8/16,8:15,5.38,243.78,90,1718
8/17,Post Office,30.26,453.84,17,1718
8/17,Tylers,6.94,715.29,209,1718
8/17,8:15,4.28,224.6,87,1718
8/17,Cellar,0.02,0.22,9,1718
8/17,ETC,5.99,341.18,104,1718
8/17,Passport,6.5,501.47,163,1718
8/18,Cellar,0,0,,1718
8/18,Concessions,6.18,136,43,1718
8/18,Passport,7.14,795.96,268,1718
8/18,ETC,8.7,493,162,1718
8/18,Post Office,36.54,328.89,9,1718
8/18,Tylers,7.03,529.79,163,1718
8/18,8:15,4.58,194.38,72,1718
8/20,ETC,6.24,567.55,200,1718
8/20,Tylers,8.3,710.65,206,1718
8/20,Concessions,8.08,913,283,1718
8/21,Post Office,17.01,493.15,32,1718
8/21,Lou's,0,0,,1718
8/21,Passport,7.04,748.77,245,1718
8/21,Tylers,7.2,931.24,273,1718
8/21,8:15,3.97,391.4,159,1718
8/21,ETC,7.12,"1,261.54",390,1718
8/22,8:15,5.06,500.62,198,1718
8/22,ETC,7.96,"1,323.24",394,1718
8/22,Passport,6.1,"1,060.51",371,1718
8/22,Post Office,17.76,443.85,27,1718
8/22,Tylers,6.51,"1,008.17",287,1718
8/22,Lou's,0,0,,1718
8/22,Cellar,0,0,,1718
8/23,8:15,4.73,703.18,253,1718
8/23,Tylers,7.97,"2,262.10",660,1718
8/23,Passport,6.05,"1,118.22",375,1718
8/23,ETC,8.5,"3,088.39",884,1718
8/23,Cellar,0.01,0.01,1,1718
8/23,Lou's,0,0,,1718
8/23,Post Office,8.41,109.24,14,1718
8/24,Post Office,16.96,303.91,23,1718
8/24,Tylers,6.94,"1,670.80",503,1718
8/24,Cellar,0,0,,1718
8/24,Passport,9.52,"2,603.23",721,1718
8/24,8:15,4.02,762.06,306,1718
8/24,ETC,7.01,"3,179.57",959,1718
8/25,Passport,6.72,"1,180.98",420,1718
8/25,8:15,3.83,661.71,266,1718
8/25,Tylers,7.09,"2,117.24",573,1718
8/25,ETC,8.46,"5,365.45",1567,1718
8/25,Cellar,0,0,,1718
8/25,Lou's,0,-0.01,-1,1718
8/25,Post Office,21.11,253.34,13,1718
8/26,ETC,8.35,"6,764.96",1929,1718
8/27,ETC,8.95,"8,442.85",2398,1718
8/27,Tylers,7.9,"2,912.06",713,1718
8/28,Post Office,24.32,"1,262.92",59,1718
8/28,8:15,3.81,"2,594.94",987,1718
8/28,Tylers,7.07,"5,310.82",1331,1718
8/28,ETC,7.09,"7,473.29",2237,1718
8/28,Passport,6.85,"5,103.77",1572,1718
8/28,Cellar,0,0,3,1718
8/28,Dean's Den,6.6,435.83,158,1718
8/28,Lou's,6.06,"2,595.15",798,1718
8/29,ETC,6.9,"7,077.53",2105,1718
8/29,Cellar,0,0,12,1718
8/29,Dean's Den,5.63,343.23,123,1718
8/29,Post Office,6.66,239.45,36,1718
8/29,8:15,3.95,"3,290.82",1261,1718
8/29,Tylers,7.05,"4,973.08",1270,1718
8/29,Passport,7.26,"4,754.77",1497,1718
8/29,Lou's,6.03,"2,936.35",880,1718
8/30,Post Office,9.29,305.57,36,1718
8/30,Lou's,5.91,"2,618.56",811,1718
8/30,Tylers,7.2,"5,155.82",1311,1718
8/30,8:15,3.96,"3,398.60",1325,1718
8/30,Cellar,0,0,2,1718
8/30,Dean's Den,5.95,439.91,155,1718
8/30,ETC,6.58,"6,999.61",2230,1718
8/30,Passport,6.91,"5,471.54",1725,1718
8/31,Cellar,40.28,322.2,62,1718
8/31,ETC,6.51,"7,109.40",2248,1718
8/31,Dean's Den,5.13,358.72,130,1718
8/31,Post Office,9.31,341.41,37,1718
8/31,Tylers,7.23,"5,154.93",1331,1718
8/31,Passport,7.22,"5,259.45",1657,1718
8/31,Lou's,5.97,"2,720.64",878,1718
8/31,8:15,4.05,"3,101.08",1178,1718
9/1,Post Office,11.8,457.86,44,1718
9/1,Lou's,6.84,"1,046.41",328,1718
9/1,ETC,6.69,"5,477.86",1757,1718
9/1,8:15,3.96,"1,684.29",657,1718
