Date,Location,Check_Ave,Sales,Item_Count,Year
3/22,8:15,4.04,"3,980.25",1551,1718
3/22,Cellar,16.34,"3,466.04",838,1718
3/22,Passport,7.51,"6,309.01",2011,1718
3/22,ETC,6.46,"10,331.24",3296,1718
3/23,ETC,7.15,"9,496.73",3110,1718
3/23,8:15,4.36,"1,903.99",739,1718
3/23,Passport,7.63,"4,736.20",1557,1718
3/23,Tylers,7.78,"4,311.98",1067,1718
3/23,Cellar,16.53,"4,389.66",1061,1718
3/23,Lou's,5.71,"1,467.56",496,1718
3/23,Concessions,4.3,215,74,1718
3/23,Post Office,10.48,324.12,33,1718
3/24,Concessions,4.23,254,84,1718
3/24,ETC,7.19,"7,202.59",2244,1718
3/24,Passport,8.36,"1,575.74",537,1718
3/24,Concessions,6.94,"1,950.00",603,1718
3/24,8:15,4.25,"1,368.65",525,1718
3/24,Cellar,14.64,"4,705.35",1171,1718
3/25,ETC,7.61,"9,268.65",2880,1718
3/25,Tylers,8.87,"3,494.83",765,1718
3/25,Cellar,16.02,"3,891.35",1020,1718
3/25,Dean's Den,6.66,"1,076.86",389,1718
3/25,Concessions,5.5,132,48,1718
3/25,8:15,4.15,"4,808.65",1885,1718
3/26,Post Office,8.92,451.48,58,1718
3/26,Lou's,6.18,"5,298.88",1820,1718
3/26,Tylers,8.26,"5,509.30",1293,1718
3/26,8:15,4.06,"6,090.04",2420,1718
3/26,Cellar,16.07,"2,190.01",579,1718
3/26,Passport,7.43,"6,761.24",2137,1718
3/26,ETC,6.78,"11,147.61",3478,1718
3/26,Dean's Den,6.38,"1,088.52",370,1718
3/27,Concessions,0,0,,1718
3/27,Cellar,16.86,"2,812.50",670,1718
3/27,Passport,7.46,"6,177.41",1966,1718
3/27,ETC,6.39,"9,905.29",3140,1718
3/27,Dean's Den,6.04,"1,056.36",376,1718
3/27,Concessions,4,72,27,1718
3/27,Post Office,8.44,345.56,44,1718
3/27,Tylers,7.82,"5,363.26",1304,1718
3/27,8:15,4.02,"5,242.28",2105,1718
3/27,Lou's,5.84,"5,022.36",1685,1718
3/28,Post Office,15.12,679.87,54,1718
3/28,Lou's,6.16,"5,312.18",1827,1718
3/28,8:15,4.1,"5,174.44",2040,1718
3/28,Tylers,7.71,"5,234.49",1265,1718
3/28,ETC,6.75,"10,767.34",3392,1718
3/28,Cellar,17.28,"5,277.14",1157,1718
3/28,Passport,7.36,"7,388.52",2305,1718
3/28,Dean's Den,6.04,"1,278.76",438,1718
3/29,Dean's Den,6.11,"1,172.91",397,1718
3/29,Cellar,18.32,"3,227.47",739,1718
3/29,Post Office,12.92,630.82,58,1718
3/29,Lou's,5.69,"3,831.44",1264,1718
3/29,Passport,7.02,"6,620.85",2202,1718
3/29,ETC,6.76,"10,647.39",3293,1718
3/29,Tylers,7.89,"5,646.46",1281,1718
3/29,8:15,4.11,"4,368.22",1743,1718
3/29,Concessions,5.06,268,82,1718
3/30,Post Office,7.88,327.98,45,1718
3/30,Passport,7.57,"4,829.86",1594,1718
3/30,ETC,7.25,"9,370.57",2951,1718
3/30,Lou's,6.02,"1,265.51",447,1718
3/30,8:15,4.47,"1,966.21",778,1718
3/30,Tylers,7.53,"3,695.91",936,1718
3/30,Concessions,5.05,535,177,1718
3/30,Cellar,16.01,"3,368.53",817,1718
3/31,8:15,4.76,"1,086.49",406,1718
3/31,ETC,7.43,"6,636.94",2034,1718
3/31,Passport,7.82,"1,996.55",708,1718
3/31,Cellar,16.08,"4,136.66",1023,1718
3/31,Concessions,6.27,"1,192.00",314,1718
4/1,Tylers,9.18,"2,527.81",518,1718
4/1,8:15,4.06,"3,748.10",1492,1718
4/1,Cellar,16.61,"3,610.70",948,1718
4/1,ETC,7.65,"8,074.55",2423,1718
4/1,Dean's Den,5.75,924.61,348,1718
4/2,Lou's,6.24,"4,923.47",1667,1718
4/2,Dean's Den,6.16,"1,057.33",376,1718
4/2,Post Office,11.74,538.88,51,1718
4/2,Cellar,16.76,"2,399.74",611,1718
4/2,Tylers,7.64,"4,876.74",1217,1718
4/2,Passport,7.4,"6,317.82",2107,1718
4/2,8:15,4.06,"5,686.85",2248,1718
4/2,ETC,6.7,"10,474.66",3268,1718
4/3,Passport,7.2,"5,927.19",1855,1718
4/3,Tylers,7.48,"4,890.67",1237,1718
4/3,8:15,4.05,"5,495.17",2189,1718
4/3,ETC,6.54,"10,502.27",3347,1718
4/3,Concessions,6.04,417,134,1718
4/3,Lou's,6.07,"4,928.68",1642,1718
4/3,Dean's Den,6.28,"1,158.94",399,1718
4/3,Post Office,7.41,251.69,41,1718
4/3,Cellar,16.21,"2,156.29",519,1718
4/4,Lou's,5.9,"4,900.66",1644,1718
4/4,Post Office,7.77,263.34,35,1718
4/4,ETC,6.84,"10,569.66",3188,1718
4/4,Passport,7.12,"6,554.81",2049,1718
4/4,8:15,4.05,"5,350.55",2112,1718
4/4,Cellar,15.47,"5,014.23",1047,1718
4/4,Dean's Den,6.11,"1,079.25",373,1718
4/4,Tylers,7.64,"4,617.83",1149,1718
4/5,ETC,7.05,"10,949.53",3410,1718
4/5,Passport,7.33,"5,977.14",1904,1718
4/5,Cellar,16.51,"3,190.69",732,1718
4/5,Tylers,7.5,"4,763.38",1198,1718
4/5,Dean's Den,6.5,947.05,333,1718
4/5,Lou's,5.91,"3,865.20",1265,1718
4/5,Post Office,10.2,304.23,32,1718
4/5,8:15,4.11,"4,346.08",1725,1718
4/6,Post Office,11.16,253.92,26,1718
4/6,Concessions,6.31,574,187,1718
4/6,Tylers,7.83,"3,352.32",841,1718
4/6,8:15,4.57,"2,120.80",790,1718
4/6,ETC,7.98,"9,925.28",3044,1718
4/6,Passport,8.39,"5,726.14",1620,1718
4/6,Lou's,6.4,"1,079.52",377,1718
4/6,Cellar,16.86,"4,205.19",978,1718
4/7,Concessions,6.2,707,233,1718
4/7,ETC,8.35,"7,136.90",2127,1718
4/7,Passport,7.4,"1,269.25",446,1718
4/7,8:15,4.31,319.3,123,1718
4/8,Tylers,8.68,"3,024.16",667,1718
4/8,Concessions,6.46,336,103,1718
4/8,Cellar,16.59,"4,254.62",1123,1718
4/8,8:15,4.15,"4,507.85",1767,1718
4/8,Dean's Den,6.97,"1,195.17",421,1718
4/8,ETC,8.24,"9,367.35",2790,1718
4/9,Cellar,16.19,"2,457.53",632,1718
4/9,ETC,7.23,"10,527.04",3168,1718
4/9,Dean's Den,6.43,"1,188.16",418,1718
4/9,Post Office,9.85,490.85,56,1718
4/9,Passport,7.2,"6,130.73",2025,1718
4/9,Tylers,7.28,"4,594.39",1193,1718
4/9,8:15,4.08,"5,309.60",2134,1718
4/9,Lou's,6.46,"5,375.56",1787,1718
4/10,Post Office,7.27,412.47,115,1718
4/10,Lou's,5.99,"4,680.42",1619,1718
4/10,ETC,7.39,"11,307.02",3420,1718
4/10,Cellar,18.23,"3,180.70",791,1718
4/10,Tylers,7.62,"4,956.69",1248,1718
4/10,8:15,4.25,"5,641.84",2220,1718
4/10,Dean's Den,6.32,959.7,340,1718
4/10,Passport,7.09,"5,961.07",1915,1718
4/10,Concessions,5.65,96,31,1718
4/11,Dean's Den,6.5,932.22,320,1718
4/11,Post Office,11.28,360.04,31,1718
4/11,ETC,7.44,"11,236.49",3375,1718
4/11,Tylers,7.56,"4,475.38",1130,1718
4/11,Lou's,5.93,"5,336.01",1849,1718
4/11,8:15,4.16,"5,613.06",2216,1718
4/11,Cellar,18.3,"5,078.31",1069,1718
4/11,Passport,7.18,"6,705.92",2194,1718
4/12,8:15,4.2,"4,555.52",1805,1718
4/12,Tylers,7.29,"3,940.41",1007,1718
4/12,ETC,9.41,"14,206.95",4306,1718
4/12,Passport,7.62,"6,740.69",2144,1718
4/12,Cellar,18.13,"3,146.74",734,1718
4/12,Dean's Den,5.99,"1,249.78",446,1718
4/12,Lou's,5.8,"3,569.52",1218,1718
4/12,Post Office,6.4,293.05,51,1718
4/13,Lou's,6.21,"1,214.53",407,1718
4/13,8:15,4.35,"1,786.82",718,1718
4/13,Post Office,7.82,390.43,57,1718
4/13,Passport,7.35,"4,507.78",1468,1718
4/13,ETC,10.85,"13,023.83",3793,1718
4/13,Cellar,17.75,"2,951.32",710,1718
4/13,Tylers,7.52,"2,863.45",758,1718
4/14,Cellar,15.49,"2,919.10",748,1718
4/14,8:15,4.23,867.91,333,1718
4/14,Concessions,7.09,"1,361.00",405,1718
4/14,ETC,7.45,"5,595.62",1656,1718
4/14,Passport,7.52,"1,551.92",543,1718
4/15,Dean's Den,6.16,865.82,290,1718
4/15,Concessions,6.15,750,212,1718
4/15,Cellar,17.02,"2,948.53",800,1718
4/15,8:15,4.18,"3,553.12",1405,1718
4/15,Tylers,8.92,"1,913.48",428,1718
4/15,ETC,7.45,"7,454.65",2262,1718
4/16,Tylers,7.21,"4,260.98",1073,1718
4/16,Passport,7.31,"6,369.94",2059,1718
4/16,ETC,6.68,"9,816.99",3125,1718
4/16,8:15,4.12,"5,577.18",2230,1718
4/16,Cellar,18.59,"2,799.29",733,1718
4/16,Dean's Den,6.35,"1,152.02",386,1718
4/16,Lou's,6.21,"5,173.74",1753,1718
4/16,Post Office,8.5,797.7,117,1718
4/17,Lou's,6.02,"4,953.24",1657,1718
4/17,Post Office,11.24,"1,134.33",128,1718
4/17,8:15,4.22,"5,784.87",2335,1718
4/17,ETC,6.9,"10,136.47",3119,1718
4/17,Cellar,18.79,"2,967.22",730,1718
4/17,Passport,7.24,"6,100.91",1984,1718
4/17,Tylers,7.34,"4,321.43",1091,1718
4/17,Dean's Den,6.31,804.01,288,1718
4/18,Passport,7.53,"5,155.40",1667,1718
4/18,Cellar,19.06,"5,829.33",1154,1718
4/18,Dean's Den,6.22,"1,169.59",417,1718
4/18,Concessions,5.71,337,108,1718
4/18,Post Office,13.2,435.06,34,1718
4/18,Tylers,7.73,"4,176.22",1071,1718
4/18,ETC,7.1,"10,049.65",3107,1718
4/18,Lou's,6.09,"4,300.01",1453,1718
4/18,8:15,4.24,"5,935.33",2395,1718
4/19,Post Office,20.09,541.05,30,1718
4/19,8:15,4.36,"4,470.04",1752,1718
4/19,Tylers,7.32,"3,938.78",1012,1718
4/19,ETC,7.47,"9,949.44",3034,1718
4/19,Passport,7.43,"6,054.34",2030,1718
4/19,Lou's,5.72,"3,631.88",1205,1718
4/19,Cellar,19.06,"3,543.30",835,1718
4/19,Dean's Den,6.59,840.78,278,1718
4/20,Passport,7.68,"4,604.84",1552,1718
4/20,ETC,8.63,"9,589.15",2830,1718
4/20,Cellar,18.04,"3,246.89",734,1718
4/20,Post Office,11.19,267.15,28,1718
4/20,Concessions,5.91,260,82,1718
4/20,Tylers,7.39,"2,789.94",729,1718
4/20,Lou's,6.17,"1,104.99",347,1718
4/20,8:15,4.09,"1,825.96",738,1718
4/20,Concessions,6.88,523,154,1718
4/21,Concessions,7.93,"2,674.00",770,1718
4/21,Cellar,16.63,"4,657.07",1125,1718
4/21,ETC,8.2,"7,989.66",2419,1718
4/21,Passport,7.58,"1,907.27",681,1718
4/21,8:15,4.32,"1,358.04",539,1718
4/21,Concessions,6.26,513,164,1718
4/22,Dean's Den,5.81,965.78,363,1718
4/22,Concessions,6.08,547,168,1718
4/22,ETC,7.59,"9,438.14",2896,1718
4/22,Tylers,9.28,"2,617.88",605,1718
4/22,Cellar,16.64,"3,244.81",864,1718
4/22,8:15,4.16,"5,060.65",2021,1718
4/22,Concessions,6.46,633,189,1718
4/23,8:15,4.13,"5,721.83",2313,1718
4/23,Lou's,6.33,"5,016.27",1722,1718
4/23,Cellar,18.04,"2,854.82",699,1718
4/23,ETC,7.01,"9,662.33",3032,1718
4/23,Tylers,7.09,"3,802.65",969,1718
4/23,Dean's Den,6.95,"1,141.79",381,1718
4/23,Passport,7.34,"6,422.49",2034,1718
4/23,Post Office,58.57,"3,159.54",52,1718
4/24,Lou's,6.12,"4,356.36",1459,1718
4/24,Dean's Den,6.13,719.87,253,1718
4/24,Tylers,7.24,"3,929.41",1008,1718
4/24,Post Office,13.72,465.9,35,1718
4/24,8:15,4.23,"5,635.69",2293,1718
4/24,Cellar,21.9,"2,903.75",635,1718
4/24,Passport,7.52,"5,456.27",1800,1718
4/24,ETC,7.4,"8,758.43",2583,1718
4/25,Tylers,6.96,"3,369.84",883,1718
4/25,8:15,4.15,"5,355.81",2154,1718
4/25,Cellar,18.09,"6,069.58",1236,1718
4/25,Passport,7.53,"6,130.19",2017,1718
4/25,ETC,8.78,"11,952.85",3393,1718
4/25,Dean's Den,6.22,885.13,317,1718
4/25,Lou's,6.09,"4,317.13",1497,1718
4/25,Post Office,10,367.98,42,1718
4/26,Dean's Den,6.36,"1,012.62",346,1718
4/26,Lou's,5.64,"3,060.60",1019,1718
4/26,Passport,7.13,"5,540.97",1853,1718
4/26,Post Office,15.19,500.6,35,1718
4/26,8:15,4.23,"4,521.97",1809,1718
4/26,ETC,8.61,"11,452.63",3363,1718
4/26,Cellar,17.94,"2,904.20",732,1718
4/26,Tylers,7.04,"2,991.49",777,1718
4/27,ETC,8.4,"8,602.65",2550,1718
4/27,Passport,7.3,"4,524.46",1501,1718
4/27,8:15,4.3,"2,216.69",878,1718
4/27,Tylers,7.28,"2,617.67",678,1718
4/27,Cellar,20.58,"3,252.99",804,1718
4/27,Lou's,6.77,"1,401.10",489,1718
4/27,Concessions,4.81,149,48,1718
4/27,Post Office,12.9,372.46,30,1718
4/28,Concessions,5.91,331,105,1718
4/28,Concessions,7.75,"2,123.00",629,1718
4/28,Passport,7.61,"2,689.08",969,1718
4/28,Cellar,16.9,"3,305.92",839,1718
4/28,8:15,4.71,"2,507.31",1027,1718
4/28,ETC,8.12,"8,116.50",2453,1718
4/29,ETC,7.43,"8,785.09",2674,1718
4/29,Cellar,22.9,"2,372.87",601,1718
4/29,Dean's Den,6.55,586.05,200,1718
4/29,Concessions,6.94,340,112,1718
4/29,8:15,4.36,"5,423.51",2215,1718
4/29,Tylers,9.17,"1,704.59",392,1718
4/30,Post Office,10.29,592.44,67,1718
4/30,8:15,4.17,"5,336.65",2134,1718
4/30,Tylers,7.11,"3,185.70",811,1718
4/30,Lou's,6.76,"3,205.99",1117,1718
4/30,ETC,7.37,"9,498.55",2924,1718
4/30,Cellar,14.94,"1,234.88",375,1718
4/30,Passport,7.36,"4,511.03",1519,1718
4/30,Dean's Den,6.36,715.49,265,1718
5/1,Cellar,16.11,"1,266.16",310,1718
5/1,Passport,7.58,"4,717.73",1607,1718
5/1,Dean's Den,6.35,738.64,256,1718
5/1,Post Office,15.35,735.01,58,1718
5/1,Lou's,6.28,"2,633.93",937,1718
5/1,Tylers,7.11,"3,063.87",773,1718
5/1,ETC,8.46,"10,573.62",3055,1718
5/1,8:15,4.14,"5,456.76",2223,1718
5/2,Post Office,14.12,505.8,39,1718
5/2,Passport,7.51,"5,092.40",1631,1718
5/2,Tylers,7.37,"3,193.20",792,1718
5/2,8:15,4.15,"5,416.80",2201,1718
5/2,Lou's,6.39,"2,512.31",833,1718
5/2,ETC,9.58,"12,274.84",3532,1718
5/2,Cellar,14.82,"1,423.93",372,1718
5/2,Dean's Den,5.46,813.47,305,1718
5/3,Cellar,0,0,,1718
5/3,Dean's Den,7.39,646.9,249,1718
5/3,Post Office,38.51,"1,725.64",54,1718
5/3,ETC,13.81,"17,182.88",4492,1718
5/3,Lou's,6.29,"2,229.77",718,1718
5/3,Passport,7.3,"4,113.36",1446,1718
5/3,Concessions,6.86,"3,881.00",1183,1718
5/3,Tylers,7.06,"2,854.10",736,1718
5/3,8:15,4.19,"4,545.31",1821,1718
5/4,8:15,4.22,"2,193.51",873,1718
5/4,Post Office,27.06,"2,158.59",86,1718
5/4,Lou's,6.55,"1,058.99",321,1718
5/4,Tylers,7.4,"2,702.86",719,1718
5/4,Concessions,5.96,"1,228.00",387,1718
5/4,Dean's Den,15.44,416.44,113,1718
5/4,Passport,8.21,"3,384.39",1110,1718
5/4,ETC,16.54,"21,430.79",5818,1718
5/5,Dean's Den,17.13,701.45,182,1718
5/5,Post Office,27.78,527.15,18,1718
5/5,ETC,17.14,"14,846.22",4421,1718
5/5,Concessions,7.49,"2,682.00",805,1718
5/5,Passport,8.21,"1,702.05",623,1718
5/6,Concessions,7.02,"1,517.00",479,1718
5/6,ETC,13.72,"3,313.39",1041,1718
5/6,Dean's Den,1.54,1.54,1,1718
5/7,Post Office,14.98,359.49,26,1718
5/7,8:15,4.42,285.2,115,1718
5/7,Passport,6.93,"1,087.81",392,1718
5/7,ETC,9.02,"1,314.99",461,1718
5/8,Passport,6.9,920.32,322,1718
5/8,8:15,4.07,229.8,91,1718
5/8,ETC,9.3,"1,836.05",577,1718
5/8,Post Office,9.59,258.97,29,1718
5/9,ETC,8.71,"1,788.69",609,1718
5/9,Post Office,11.35,374.3,37,1718
5/9,8:15,5.42,337.36,126,1718
5/9,Passport,7.45,"1,019.11",348,1718
5/10,ETC,9.48,"1,910.85",632,1718
5/10,Passport,7.12,"1,219.72",435,1718
5/10,Concessions,0,0,,1718
5/10,8:15,4.36,344.65,136,1718
5/10,Post Office,16.89,589.09,41,1718
5/10,Concessions,0,0,,1718
5/11,Concessions,6.84,383,117,1718
5/11,Post Office,30.85,"1,017.85",32,1718
5/11,8:15,4.71,426.48,156,1718
5/11,Passport,7.71,"1,245.32",462,1718
5/11,ETC,9.87,"2,531.22",828,1718
5/12,ETC,14.88,"3,866.97",1170,1718
5/12,Concessions,5.02,462,150,1718
5/13,Concessions,5.18,145,47,1718
5/13,Concessions,6.7,"3,734.00",1230,1718
5/13,ETC,9.14,"2,142.32",786,1718
5/13,Concessions,6.82,"4,395.00",1447,1718
5/14,Concessions,0,0,0,1718
5/14,Post Office,33.13,925.31,80,1718
5/14,Tylers,7.75,"1,936.59",590,1718
5/14,ETC,9.94,"1,955.54",650,1718
5/14,8:15,4.94,373.28,150,1718
5/15,Post Office,16.46,378.18,27,1718
5/15,Tylers,7.67,"1,867.54",564,1718
5/15,ETC,5.94,589.52,199,1718
5/15,8:15,4.2,307.07,124,1718
5/15,Cellar,0,0,0,1718
5/16,Post Office,94.02,939.52,11,1718
5/16,8:15,4.75,297.07,123,1718
5/16,ETC,6.03,403.82,143,1718
5/16,Tylers,7.25,"1,953.32",563,1718
5/16,Cellar,0,0,0,1718
5/17,Tylers,7.16,"1,865.30",581,1718
5/17,8:15,3.45,29.47,15,1718
5/17,Cellar,0,0,,1718
5/17,ETC,6.74,691.04,223,1718
5/17,Post Office,10.15,131.87,16,1718
5/18,Post Office,8.25,98.83,14,1718
5/18,8:15,4.78,231.19,90,1718
5/18,Tylers,7.84,"1,396.90",407,1718
5/18,ETC,6.16,507.4,181,1718
5/19,Tylers,9.83,671.85,189,1718
5/19,ETC,11.94,653.37,195,1718
5/20,Tylers,7.93,693.76,185,1718
5/20,ETC,20.4,"1,591.28",412,1718
5/21,Passport,7.47,702.96,221,1718
5/21,ETC,8.62,"1,682.68",477,1718
5/21,Tylers,6.56,762.8,214,1718
5/21,8:15,4.01,250.32,100,1718
5/21,Post Office,11.87,354.75,37,1718
5/22,8:15,4.56,304.86,120,1718
5/22,Post Office,8.44,168.7,21,1718
5/22,ETC,7.44,"1,188.01",374,1718
5/22,Passport,7.67,929.29,318,1718
5/22,Tylers,6.8,824.48,233,1718
5/23,Passport,7.22,862.34,310,1718
5/23,ETC,6.3,"1,068.04",346,1718
5/23,Tylers,7.12,840.6,247,1718
5/23,8:15,3.79,291.37,121,1718
5/23,Post Office,9.23,267.7,31,1718
5/24,Post Office,14.73,191.42,14,1718
5/24,8:15,4.54,225.23,87,1718
5/24,Tylers,7.78,636.64,174,1718
5/24,Passport,7.46,807.91,267,1718
5/24,ETC,7.65,"1,093.93",352,1718
5/25,ETC,7.01,"1,113.07",344,1718
5/25,Passport,6.57,759.35,271,1718
5/25,8:15,4.19,203.68,81,1718
5/25,Post Office,9.15,100.67,12,1718
5/25,Tylers,7.13,858.75,241,1718
5/26,ETC,9.29,646.82,177,1718
5/27,ETC,7.18,459.16,131,1718
5/28,Tylers,8.17,"1,402.19",338,1718
5/29,Post Office,19.68,334.49,17,1718
5/29,8:15,4.22,342.11,136,1718
5/29,Tylers,6.54,696.52,193,1718
5/29,ETC,8.1,"1,324.48",394,1718
5/29,Passport,6.73,946.65,345,1718
5/30,8:15,4.31,290.05,113,1718
5/30,Tylers,4.9,249.05,91,1718
5/30,Passport,6.5,428.19,159,1718
5/30,ETC,6.69,858.64,284,1718
5/30,Post Office,7.28,94.58,14,1718
5/31,Passport,6.83,"1,019.85",368,1718
5/31,Tylers,7.25,861.34,249,1718
5/31,8:15,4.19,377.16,144,1718
5/31,ETC,6.89,"1,237.80",404,1718
5/31,Post Office,8.87,115.32,13,1718
6/1,Passport,6.77,"1,088.08",368,1718
6/1,ETC,6.78,"1,040.82",337,1718
6/1,Tylers,7.08,781.82,231,1718
6/1,8:15,4.69,357.27,144,1718
6/1,Post Office,13.63,163.52,13,1718
6/2,ETC,6.92,771.17,243,1718
6/3,ETC,8.58,768.05,235,1718
6/4,Post Office,10.31,267.79,30,1718
6/4,8:15,3.4,293.45,110,1718
6/4,ETC,7.26,"1,335.29",431,1718
6/4,Tylers,6.92,715.02,193,1718
6/4,Dean's Den,0,0,,1718
6/4,Passport,7.47,"1,151.13",411,1718
6/5,ETC,7.25,"1,394.57",429,1718
6/5,Passport,6.96,894.43,327,1718
6/5,Tylers,7.29,851.49,241,1718
6/5,Post Office,111.77,"2,905.91",28,1718
6/5,8:15,4.14,248.05,97,1718
6/6,Post Office,14.36,172.28,14,1718
6/6,Passport,6.87,"1,088.20",401,1718
6/6,8:15,4.22,409.57,170,1718
6/6,Tylers,6.72,863.1,250,1718
6/6,ETC,6.18,"1,082.61",327,1718
6/7,Dean's Den,0,0,0,1718
6/7,ETC,6.93,"1,293.51",410,1718
6/7,Passport,7.38,"1,094.10",379,1718
6/7,8:15,4.51,282.12,101,1718
6/7,Post Office,14.9,238.14,21,1718
6/7,Tylers,6.66,886.85,251,1718
6/8,Post Office,10.23,193.37,97,1718
6/8,8:15,4.05,230.39,93,1718
6/8,ETC,6.7,"1,702.92",568,1718
6/8,Passport,6.48,949.82,348,1718
6/8,Concessions,5.71,914,278,1718
6/8,Dean's Den,17.74,269.6,20,1718
6/8,Tylers,6.92,804.06,235,1718
6/9,Lou's,0,0,,1718
6/9,Concessions,5.33,341,107,1718
6/9,ETC,8.88,828.61,264,1718
6/10,ETC,6.8,452.64,140,1718
6/11,Post Office,8.3,157.15,20,1718
6/11,Tylers,6.87,863.88,230,1718
6/11,8:15,4.21,345.24,133,1718
6/11,Passport,7.01,"1,000.74",359,1718
6/11,ETC,7.64,"1,599.53",494,1718
6/12,Passport,7.01,"1,046.75",369,1718
6/12,8:15,4.31,381.24,159,1718
6/12,Tylers,6.85,981.18,253,1718
6/12,Post Office,12.23,428.01,38,1718
6/12,ETC,6.08,"1,268.94",405,1718
6/13,Passport,7.1,"1,342.90",464,1718
6/13,ETC,6.75,"1,228.36",420,1718
6/13,Tylers,8.05,878.77,244,1718
6/13,8:15,4.59,432.1,165,1718
6/13,Post Office,13.76,398.93,33,1718
6/14,Tylers,7.06,863.29,244,1718
6/14,Passport,7.45,"1,298.85",459,1718
6/14,ETC,6.66,"1,303.02",440,1718
6/14,Post Office,19.93,318.78,17,1718
6/14,8:15,4.14,339.02,135,1718
6/15,Post Office,12.6,365.42,32,1718
6/15,Tylers,7.43,909.04,268,1718
6/15,8:15,4.49,311.31,119,1718
6/15,ETC,7.19,"1,181.82",384,1718
6/15,Passport,7.06,"1,044.61",385,1718
6/16,ETC,9.29,850.36,268,1718
6/17,ETC,8.15,801.72,261,1718
6/18,Post Office,21.45,514.72,27,1718
6/18,Passport,7.1,"1,160.39",383,1718
6/18,ETC,5.48,"1,209.26",407,1718
6/18,8:15,4.09,325.5,134,1718
6/18,Tylers,7.26,"1,019.62",290,1718
6/19,Post Office,7.84,133.23,18,1718
6/19,Passport,7.24,"1,002.63",339,1718
6/19,ETC,6.32,"1,321.27",436,1718
6/19,8:15,4.29,374.43,146,1718
6/19,Tylers,5.89,"1,003.76",309,1718
6/20,8:15,4.66,340.81,130,1718
6/20,Post Office,14.62,175.47,12,1718
6/20,ETC,7.87,"1,337.31",423,1718
6/20,Passport,7.69,"1,051.55",357,1718
6/20,Tylers,7.42,945.52,270,1718
6/21,Tylers,7.14,988.27,273,1718
6/21,8:15,4.43,363.78,141,1718
6/21,ETC,7.74,"1,475.45",504,1718
6/21,Passport,7.05,"1,368.07",501,1718
6/21,Post Office,6.62,125.21,20,1718
6/22,Post Office,10.09,100.9,10,1718
6/22,Tylers,7.18,795.84,247,1718
6/22,Passport,7.01,"1,055.29",395,1718
6/22,8:15,4.23,214.25,84,1718
6/22,ETC,7.4,"2,051.27",697,1718
6/23,ETC,6.79,856.82,286,1718
6/24,ETC,9.16,864.01,252,1718
6/24,Concessions,12.94,207,59,1718
6/25,Passport,7.59,912.58,313,1718
6/25,ETC,7.91,"1,202.68",380,1718
6/25,8:15,5.3,327.27,147,1718
6/25,Tylers,6.91,824.1,244,1718
6/25,Post Office,5.5,115.43,21,1718
6/26,Post Office,8.92,178.33,25,1718
6/26,Tylers,6.94,"1,126.85",327,1718
6/26,8:15,4.09,289.19,114,1718
6/26,ETC,7.98,"1,743.75",529,1718
6/26,Passport,7.94,884.58,327,1718
6/27,ETC,7.49,"1,549.37",497,1718
6/27,Post Office,16.25,178.73,11,1718
6/27,Tylers,7.41,978.21,289,1718
6/27,8:15,4.4,350.06,145,1718
6/27,Passport,8.11,915.91,293,1718
6/28,Post Office,29.83,477.32,15,1718
6/28,Tylers,6.87,852.82,260,1718
6/28,8:15,4.19,290.53,118,1718
6/28,Passport,7.55,"1,144.39",429,1718
6/28,ETC,6.78,"1,205.09",400,1718
6/29,ETC,0,0,,1718
6/29,Post Office,7,125.75,18,1718
6/29,Passport,7.96,984.58,357,1718
6/29,Tylers,7.7,"1,081.96",323,1718
6/29,8:15,4.38,333.02,132,1718
6/30,ETC,9.77,894.58,266,1718
7/1,ETC,9.63,633.46,179,1819
7/2,8:15,4.23,312.95,135,1819
7/2,Tylers,5.86,902.8,285,1819
7/2,ETC,8.1,"1,754.89",565,1819
7/2,Passport,7.76,998.23,345,1819
7/2,Post Office,15.66,313,20,1819
7/3,8:15,4.23,342.42,136,1819
7/3,Post Office,38.25,650.2,17,1819
7/3,Passport,6.59,687.94,273,1819
7/3,ETC,8.25,"2,066.14",676,1819
7/3,Tylers,6.63,"1,001.31",308,1819
7/5,Post Office,14.14,226.06,17,1819
7/5,Passport,7.68,914.5,329,1819
7/5,Tylers,6.87,839.86,249,1819
7/5,8:15,4.21,329.81,135,1819
7/5,ETC,6.9,"1,514.21",513,1819
7/6,Passport,7.6,931.23,316,1819
7/6,ETC,7.95,"1,326.13",459,1819
7/6,Tylers,7.6,880,265,1819
7/6,8:15,4.68,351.25,138,1819
7/6,Post Office,7.45,111.59,18,1819
7/7,ETC,8.03,749.8,214,1819
7/8,ETC,8.49,601.42,186,1819
7/9,Post Office,6.68,139.75,24,1819
7/9,Tylers,7.79,"1,076.15",301,1819
7/9,8:15,4.64,362.27,143,1819
7/9,ETC,7.98,"1,431.51",440,1819
7/9,Passport,7.32,"1,044.33",365,1819
7/10,ETC,6.17,"1,081.42",360,1819
7/10,Post Office,13.03,194.71,15,1819
7/10,Tylers,6.98,"1,002.43",297,1819
7/10,8:15,4.35,383.54,152,1819
7/10,Passport,8.06,930.8,322,1819
7/11,Post Office,10.03,160.52,18,1819
7/11,Tylers,7.69,"1,265.76",346,1819
7/11,Passport,7.05,786.66,288,1819
7/11,8:15,4.39,396.66,160,1819
7/11,ETC,6.82,"1,235.23",403,1819
7/12,Post Office,18.38,220.53,12,1819
